ROUTE_NO,BUS_STOP_CD,BUS_STOP_NM,STOP_SEQ,KM,Departure Time,Arrival Time,Halt Time,Trip Type,Route Type
2130,CHOFS,CHINCHOLI FATA,1,0,8:15,8:13,2,Forward,PHC
2130,MEARI,MEHADARI,2,3.2,8:23,8:21,2,Forward,PHC
2130,MLANF,MALGAON FATA,3,5.9,8:31,8:29,2,Forward,PHC
2130,SNNR,SINNAR,4,11.3,8:44,8:42,2,Forward,PHC
2130,MUSON,MUSALGAON,5,18.3,9:07,8:58,10,Forward,PHC
2130,MSLSNK,MUSALGAON (MIDC),6,17.1,9:07,9:05,2,Forward,PHC
2130,MSLSN,MUSALGAON FATA,7,18.7,9:12,9:10,2,Forward,PHC
2130,DTL,DATELI,8,21.9,9:21,9:19,2,Forward,PHC
2130,KPDH,KOPADI KHURD,9,23.7,9:26,9:24,2,Forward,PHC
2130,KADIBD,KHOPADI BUDRUK,10,24.3,9:30,9:28,2,Forward,PHC
2130,SISN,DATTA MANDIR,11,25.6,9:34,9:32,2,Forward,PHC
2130,BOASNK,BHOKANI FATA,12,26.2,9:37,9:35,2,Forward,PHC
2130,DVURFT,DEVPUR FATA,13,29,9:45,9:43,2,Forward,PHC
2130,PPNRSN,PANGRI,14,33.9,9:57,9:55,2,Forward,PHC
2130,VAVI,VAVI,15,39.3,10:10,10:08,2,Forward,PHC
2130,SYFT,SAYALE FATA,16,40.2,10:13,10:11,2,Forward,PHC
2130,PATRE,PATHARE,17,48.5,10:32,10:30,2,Forward,PHC
2130,DREKA,DARDE FATA,18,49.8,10:37,10:35,2,Forward,PHC
2130,DREKA,DARDE FATA,1,0,7:30,7:29,2,Return,PHC
2130,PATRE,PATHARE,2,1.3,7:35,7:33,2,Return,PHC
2130,SYFT,SAYALE FATA,3,9.6,7:54,7:52,2,Return,PHC
2130,VAVI,VAVI,4,10.5,7:57,7:55,2,Return,PHC
2130,PPNRSN,PANGRI,5,15.9,8:10,8:08,2,Return,PHC
2130,DVURFT,DEVPUR FATA,6,20.8,8:22,8:20,2,Return,PHC
2130,BOASNK,BHOKANI FATA,7,23.6,8:30,8:28,2,Return,PHC
2130,SISN,DATTA MANDIR,8,24.2,8:33,8:31,2,Return,PHC
2130,KADIBD,KHOPADI BUDRUK,9,25.5,8:37,8:35,2,Return,PHC
2130,KPDH,KOPADI KHURD,10,26.1,8:41,8:39,2,Return,PHC
2130,DTL,DATELI,11,27.9,8:46,8:44,2,Return,PHC
2130,MSLSN,MUSALGAON FATA,12,31.1,8:55,8:53,2,Return,PHC
2130,MSLSNK,MUSALGAON (MIDC),13,32.7,9:00,8:58,2,Return,PHC
2130,MUSON,MUSALGAON,14,31.5,9:07,8:58,10,Return,PHC
2130,SNNR,SINNAR,15,38.5,9:23,9:21,2,Return,PHC
2130,MLANF,MALGAON FATA,16,43.9,9:36,9:34,2,Return,PHC
2130,MEARI,MEHADARI,17,46.6,9:44,9:42,2,Return,PHC
2130,CHOFS,CHINCHOLI FATA,18,49.8,9:52,9:50,2,Return,PHC
6891,SNNR,SINNAR,1,0,7:43,7:41,2,Forward,PHC
6891,MUSON,MUSALGAON,2,8,8:01,7:59,2,Forward,PHC
